,ID,Smalles_angle,Sum_of_angles,Area_diff,Label
0,1,17.592424562181566,180.00000000000003,0.0,1
1,2,28.072486935852936,180.0,36.0,1
2,3,4.085616779974798,179.99999999999983,0.0,1
3,4,6.340191745909966,337.38013505195966,0.0,1
4,5,19.653824058053313,180.0,0.0,1
5,6,19.10309089125077,180.0,0.0,1
6,7,23.00887008282288,180.00000000000003,0.0,1
7,8,26.565051177077994,180.00000000000003,0.0,1
8,9,21.893673141728417,180.0,0.0,1
9,10,18.980606416337725,180.00000000000003,0.0,1
10,19,18.208484470580743,180.0,9.094947017729282e-13,1
11,20,23.49856567595208,180.0,0.0,1
12,21,22.285587646832827,180.00000000000003,0.0,1
13,22,15.499275376500837,180.0,9.094947017729282e-13,1
14,23,20.658910063307477,180.0,0.0,1
15,11,72.14968169778317,360.0,30.272727272726115,0
16,12,97.1250163489018,540.0,0.0,0
17,13,74.29136217098426,360.0,52.0,0
18,14,26.565051177077994,180.00000000000003,9.094947017729282e-13,0
19,15,58.190610712206855,360.0,67.66666666666606,0
20,16,68.8752808539275,360.0,140.40000000000146,0
21,17,62.96913974015701,360.00000000000006,423.0,0
22,18,58.57043438516149,360.0,39.0,0
